Start Training...
Epoch 1/2: Iteration 30600, loss = 0.189583
Epoch 1/2: Iteration 30700, loss = 0.001741
Epoch 1/2: Iteration 30800, loss = 0.387138
Epoch 1/2: Iteration 30900, loss = 0.034660
Epoch 1/2: Iteration 31000, loss = 1.012481
Epoch 1/2: Iteration 31100, loss = 0.039821
Epoch 1/2: Iteration 31200, loss = 0.199788
Epoch 1/2: Iteration 31300, loss = 0.757222
Epoch 1/2: Iteration 31400, loss = 0.007337
Epoch 1/2: Iteration 31500, loss = 0.198236
Epoch 1/2: Iteration 31600, loss = 0.053224
Epoch 1/2: Iteration 31700, loss = 0.745839
Epoch 1/2: Iteration 31800, loss = 0.144192
Epoch 1/2: Iteration 31900, loss = 0.081739
Epoch 1/2: Iteration 32000, loss = 0.037092
Epoch 1/2: Iteration 32100, loss = 0.034048
Epoch 1/2: Iteration 32200, loss = 0.127106
Epoch 1/2: Iteration 32300, loss = 0.159195
Epoch 1/2: Iteration 32400, loss = 0.179946
Epoch 1/2: Iteration 32500, loss = 0.004103
Epoch 1/2: Iteration 32600, loss = 0.290185
Epoch 1/2: Iteration 32700, loss = 0.040332
Epoch 1/2: Iteration 32800, loss = 0.326470
Epoch 1/2: Iteration 32900, loss = 0.031967
Epoch 1/2: Iteration 33000, loss = 0.535377
Epoch 1/2: Iteration 33100, loss = 0.016361
Epoch 1/2: Iteration 33200, loss = 0.017959
Epoch 1/2: Iteration 33300, loss = 0.031226
Epoch 1/2: Iteration 33400, loss = 0.010252
Epoch 1/2: Iteration 33500, loss = 0.015737
Epoch 1/2: Iteration 33600, loss = 0.146666
Epoch 1/2: Iteration 33700, loss = 0.238502
Epoch 1/2: Iteration 33800, loss = 0.068840
Epoch 1/2: Iteration 33900, loss = 0.048284
Epoch 1/2: Iteration 34000, loss = 8.234017
Epoch 1/2: Iteration 34100, loss = 0.012705
Epoch 1/2: Iteration 34200, loss = 0.120530
Epoch 1/2: Iteration 34300, loss = 0.205939
Epoch 1/2: Iteration 34400, loss = 0.038751
Epoch 1/2: Iteration 34500, loss = 0.058757
Epoch 1/2: Iteration 34600, loss = 0.013762
Epoch 1/2: Iteration 34700, loss = 0.710933
Epoch 1/2: Iteration 34800, loss = 2.526104
Epoch 1/2: Iteration 34900, loss = 0.006565
Epoch 1/2: Iteration 35000, loss = 0.141205
Epoch 1/2: Iteration 35100, loss = 0.078325
Epoch 1/2: Iteration 35200, loss = 0.207656
Epoch 1/2: Iteration 35300, loss = 0.480085
Epoch 1/2: Iteration 35400, loss = 0.047328
Epoch 1/2: Iteration 35500, loss = 0.025644
Epoch 1/2: Iteration 35600, loss = 0.060489
Epoch 1/2: Iteration 35700, loss = 0.005286
Epoch 1/2: Iteration 35800, loss = 0.074723
Epoch 1/2: Iteration 35900, loss = 0.009208
Epoch 1/2: Iteration 36000, loss = 0.816002
Epoch 1/2: Iteration 36100, loss = 0.128466
Epoch 1/2: Iteration 36200, loss = 0.201470
Epoch 1/2: Iteration 36300, loss = 0.035812
Epoch 1/2: Iteration 36400, loss = 0.146959
Epoch 1/2: Iteration 36500, loss = 0.181233
Epoch 1/2: Iteration 36600, loss = 0.125176
Epoch 1/2: Iteration 36700, loss = 0.023800
Epoch 1/2: Iteration 36800, loss = 0.087255
Epoch 1/2: Iteration 36900, loss = 0.081582
Epoch 1/2: Iteration 37000, loss = 0.058655
Epoch 1/2: Iteration 37100, loss = 0.024814
Epoch 1/2: Iteration 37200, loss = 0.163756
Epoch 1/2: Iteration 37300, loss = 0.105729
Epoch 1/2: Iteration 37400, loss = 0.098536
Epoch 1/2: Iteration 37500, loss = 0.124473
Epoch 1/2: Iteration 37600, loss = 0.079637
Epoch 1/2: Iteration 37700, loss = 0.023613
Epoch 1/2: Iteration 37800, loss = 0.082957
Epoch 1/2: Iteration 37900, loss = 0.032250
Epoch 1/2: Iteration 38000, loss = 0.017839
Epoch 1/2: Iteration 38100, loss = 0.048759
Epoch 1/2: Iteration 38200, loss = 0.071133
Epoch 1/2: Iteration 38300, loss = 0.184679
Epoch 1/2: Iteration 38400, loss = 0.219709
Epoch 1/2: Iteration 38500, loss = 0.014178
Epoch 1/2: Iteration 38600, loss = 0.090821
Epoch 1/2: Iteration 38700, loss = 0.049362
Epoch 1/2: Iteration 38800, loss = 0.023626
Epoch 1/2: Iteration 38900, loss = 0.031090
Epoch 1/2: Iteration 39000, loss = 0.007694
Epoch 1/2: Iteration 39100, loss = 0.008343
Epoch 1/2: Iteration 39200, loss = 0.025207
Epoch 1/2: Iteration 39300, loss = 0.134647
Epoch 1/2: Iteration 39400, loss = 0.025074
Epoch 1/2: Iteration 39500, loss = 0.037413
Epoch 1/2: Iteration 39600, loss = 0.217719
Epoch 1/2: Iteration 39700, loss = 0.006179
Epoch 1/2: Iteration 39800, loss = 0.077726
Epoch 1/2: Iteration 39900, loss = 0.023077
Epoch 1/2: Iteration 40000, loss = 0.080494
Epoch 1/2: Iteration 40100, loss = 0.023684
Epoch 1/2: Iteration 40200, loss = 0.004592
Epoch 1/2: Iteration 40300, loss = 0.198603
Epoch 1/2: Iteration 40400, loss = 0.018081
Epoch 1/2: Iteration 40500, loss = 0.017454
Epoch 1/2: Iteration 40600, loss = 0.060818
Epoch 1/2: Iteration 40700, loss = 1.013212
Epoch 1/2: Iteration 40800, loss = 0.069675
Epoch 1/2: Iteration 40900, loss = 0.310312
Epoch 1/2: Iteration 41000, loss = 0.118094
Epoch 1/2: Iteration 41100, loss = 0.062463
Epoch 1/2: Iteration 41200, loss = 0.078712
Epoch 1/2: Iteration 41300, loss = 0.874818
Epoch 1/2: Iteration 41400, loss = 0.039828
Epoch 1/2: Iteration 41500, loss = 0.145453
Epoch 1/2: Iteration 41600, loss = 0.017781
Epoch 1/2: Iteration 41700, loss = 0.539281
Epoch 1/2: Iteration 41800, loss = 0.005657
Epoch 1/2: Iteration 41900, loss = 0.025625
Epoch 1/2: Iteration 42000, loss = 0.010277
Epoch 1/2: Iteration 42100, loss = 0.138730
Epoch 1/2: Iteration 42200, loss = 0.119418
Epoch 1/2: Iteration 42300, loss = 1.397577
Epoch 1/2: Iteration 42400, loss = 0.046032
Epoch 1/2: Iteration 42500, loss = 0.159720
Epoch 1/2: Iteration 42600, loss = 0.479778
Epoch 1/2: Iteration 42700, loss = 0.097746
Epoch 1/2: Iteration 42800, loss = 0.015278
Epoch 1/2: Iteration 42900, loss = 0.235034
Epoch 1/2: Iteration 43000, loss = 0.064486
Epoch 1/2: Iteration 43100, loss = 0.044473
Epoch 1/2: Iteration 43200, loss = 0.085707
Epoch 1/2: Iteration 43300, loss = 0.024052
Epoch 1/2: Iteration 43400, loss = 0.012000
Epoch 1/2: Iteration 43500, loss = 0.004445
Epoch 1/2: Iteration 43600, loss = 0.360245
Epoch 1/2: Iteration 43700, loss = 1.165744
Epoch 1/2: Iteration 43800, loss = 0.043237
Epoch 1/2: Iteration 43900, loss = 0.094770
Epoch 1/2: Iteration 44000, loss = 0.093420
Epoch 1/2: Iteration 44100, loss = 0.158957
Epoch 1/2: Iteration 44200, loss = 0.107683
Epoch 1/2: Iteration 44300, loss = 0.054912
Epoch 1/2: Iteration 44400, loss = 0.349382
Epoch 1/2: Iteration 44500, loss = 0.029994
Epoch 1/2: Iteration 44600, loss = 0.020678
Epoch 1/2: Iteration 44700, loss = 0.116406
Epoch 1/2: Iteration 44800, loss = 0.003327
Epoch 1/2: Iteration 44900, loss = 0.545301
Epoch 1/2: Iteration 45000, loss = 0.010058
Epoch 1/2: Iteration 45100, loss = 0.044421
Epoch 1/2: Iteration 45200, loss = 0.014533
